Vars,Clauses,Solve time,Restarts,Learned Clauses,Decisions,Implications,Result,File
125,538,0.09207884399999999,8,227,247,11647,SAT,uf125-01_output.txt
50,100,0.04783516400000001,8,489,488,5633,UNSAT,aim-50-2_0-no-1_output.txt
50,218,0.0027896580000000004,3,12,22,340,SAT,uf50-02_output.txt
50,218,0.006348472000000001,6,35,47,795,SAT,uf50-01_output.txt
100,430,0.259328079,9,834,846,36674,SAT,uf100-02_output.txt
,,,,,,,Skipped file,aim-200-2_0-yes1-2_output.txt
150,645,4435.974541429,11,34565,34564,1956657,UNSAT,uuf150-01_output.txt
50,218,0.0048011849999999995,4,21,42,501,SAT,uf50-03_output.txt
,,,,,,,Skipped file,uuf175-02_output.txt
125,538,39.559456931,11,6488,6487,311505,UNSAT,uuf125-03_output.txt
175,753,1.661363895,11,2846,2878,181863,SAT,uf175-02_output.txt
75,325,0.07145752200000001,8,332,331,9972,UNSAT,uuf75-02_output.txt
150,645,42.611981529,11,74446,74469,4412894,SAT,uf150-03_output.txt
100,200,0.23837253700000002,11,2746,2754,65949,SAT,aim-100-2_0-yes1-3_output.txt
100,430,0.073545895,7,249,266,9527,SAT,uf100-01_output.txt
175,753,22.667697128,11,38953,38980,2493135,SAT,uf175-01_output.txt
50,100,0.021122459,7,311,317,4715,SAT,aim-50-2_0-yes1-1_output.txt
50,100,0.147514417,9,1231,1230,18831,UNSAT,aim-50-2_0-no-2_output.txt
,,,,,,,Skipped file,uuf150-02_output.txt
200,400,203.96518702699998,11,21363,21379,689800,SAT,aim-200-2_0-yes1-3_output.txt
50,218,0.010276335000000001,6,57,56,1398,UNSAT,uuf50-02_output.txt
100,200,0.088506366,11,1174,1173,17595,UNSAT,aim-100-2_0-no-1_output.txt
,,,,,,,Skipped file,aim-200-2_0-no-2_output.txt
125,538,0.07396039800000001,7,213,230,9347,SAT,uf125-02_output.txt
,,,,,,,Skipped file,uuf175-01_output.txt
,,,,,,,Skipped file,aim-200-2_0-no-1_output.txt
100,200,0.04712879100000001,8,531,544,12821,SAT,aim-100-2_0-yes1-1_output.txt
50,100,0.179107858,11,1830,1829,26937,UNSAT,aim-50-2_0-no-3_output.txt
100,200,1.1776756750000001,11,2572,2571,30307,UNSAT,aim-100-2_0-no-3_output.txt
50,100,0.024239482,8,365,372,5203,SAT,aim-50-2_0-yes1-3_output.txt
100,430,0.042662715000000004,7,135,155,5609,SAT,uf100-03_output.txt
,,,,,,,Skipped file,uuf175-03_output.txt
150,645,0.456807527,9,865,898,48162,SAT,uf150-02_output.txt
100,200,0.35264327300000003,11,3321,3339,111749,SAT,aim-100-2_0-yes1-2_output.txt
100,430,3.1434845620000003,11,2357,2356,95280,UNSAT,uuf100-02_output.txt
100,200,37.621486805,11,10243,10242,176836,UNSAT,aim-100-2_0-no-2_output.txt
125,538,0.024812216,5,54,77,2517,SAT,uf125-03_output.txt
50,100,0.031471074,8,404,410,7386,SAT,aim-50-2_0-yes1-2_output.txt
75,325,0.065672787,8,293,292,8794,UNSAT,uuf75-01_output.txt
50,218,0.010386562000000002,8,60,59,1460,UNSAT,uuf50-03_output.txt
125,538,7.251163837,11,3597,3596,172168,UNSAT,uuf125-01_output.txt
75,325,0.004571514000000002,3,12,36,468,SAT,uf75-01_output.txt
150,645,4.898837035000001,11,9733,9760,547603,SAT,uf150-01_output.txt
75,325,0.009794362999999997,4,42,52,1246,SAT,uf75-03_output.txt
200,400,67.797364209,11,341382,341410,22260211,SAT,aim-200-2_0-yes1-1_output.txt
50,218,0.012983414999999998,4,72,71,1822,UNSAT,uuf50-01_output.txt
125,538,271.58584855000004,11,12489,12488,610748,UNSAT,uuf125-02_output.txt
100,430,0.506334845,8,1051,1050,39202,UNSAT,uuf100-01_output.txt
75,325,0.09703223100000001,11,437,436,13403,UNSAT,uuf75-03_output.txt
175,753,0.546623545,8,819,845,54583,SAT,uf175-03_output.txt
,,,,,,,Skipped file,uuf150-03_output.txt
75,325,0.002163779000000001,1,1,21,41,SAT,uf75-02_output.txt
200,400,8.603514001,11,11587,11586,202983,UNSAT,aim-200-2_0-no-3_output.txt
100,430,4.666928913,11,2902,2901,115984,UNSAT,uuf100-03_output.txt
