Vars,Clauses,Solve time,Restarts,Learned Clauses,Decisions,Implications,Result,File
125,538,0.11844657800000001,8,227,247,11647,SAT,uf125-01_output.txt
50,100,0.057434570000000004,8,489,488,5633,UNSAT,aim-50-2_0-no-1_output.txt
50,218,0.0035412689999999997,3,12,22,340,SAT,uf50-02_output.txt
50,218,0.008243497999999998,5,35,47,795,SAT,uf50-01_output.txt
100,430,0.313675443,8,834,846,36674,SAT,uf100-02_output.txt
,,,,,,,Skipped file,aim-200-2_0-yes1-2_output.txt
,,,,,,,Skipped file,uuf150-01_output.txt
50,218,0.00626204,3,21,42,501,SAT,uf50-03_output.txt
,,,,,,,Skipped file,uuf175-02_output.txt
125,538,42.750034445000004,11,6488,6487,311505,UNSAT,uuf125-03_output.txt
175,753,2.0074173920000002,11,2846,2878,181863,SAT,uf175-02_output.txt
75,325,0.08552683800000001,8,332,331,9972,UNSAT,uuf75-02_output.txt
150,645,64.42179421200001,11,74446,74469,4412894,SAT,uf150-03_output.txt
100,200,0.314730457,11,2746,2754,65949,SAT,aim-100-2_0-yes1-3_output.txt
100,430,0.095443737,7,249,266,9527,SAT,uf100-01_output.txt
175,753,26.048876323,11,38953,38980,2493135,SAT,uf175-01_output.txt
50,100,0.029607797,7,311,317,4715,SAT,aim-50-2_0-yes1-1_output.txt
50,100,0.195529261,9,1231,1230,18831,UNSAT,aim-50-2_0-no-2_output.txt
200,400,196.169844252,11,21363,21379,689800,SAT,aim-200-2_0-yes1-3_output.txt
50,218,0.012498999,6,57,56,1398,UNSAT,uuf50-02_output.txt
100,200,0.120165529,11,1174,1173,17595,UNSAT,aim-100-2_0-no-1_output.txt
,,,,,,,Skipped file,aim-200-2_0-no-2_output.txt
125,538,0.095554444,5,213,230,9347,SAT,uf125-02_output.txt
,,,,,,,Skipped file,uuf175-01_output.txt
,,,,,,,Skipped file,aim-200-2_0-no-1_output.txt
100,200,0.06181549500000001,8,531,544,12821,SAT,aim-100-2_0-yes1-1_output.txt
50,100,0.229713599,8,1830,1829,26937,UNSAT,aim-50-2_0-no-3_output.txt
100,200,1.6260569930000002,11,2572,2571,30307,UNSAT,aim-100-2_0-no-3_output.txt
50,100,0.033730909999999996,11,365,372,5203,SAT,aim-50-2_0-yes1-3_output.txt
100,430,0.057625596,6,135,155,5609,SAT,uf100-03_output.txt
,,,,,,,Skipped file,uuf175-03_output.txt
150,645,0.5392639650000001,9,865,898,48162,SAT,uf150-02_output.txt
100,200,0.440654113,11,3321,3339,111749,SAT,aim-100-2_0-yes1-2_output.txt
100,430,3.9196530899999997,11,2357,2356,95280,UNSAT,uuf100-02_output.txt
100,200,48.07019288,11,10243,10242,176836,UNSAT,aim-100-2_0-no-2_output.txt
125,538,0.032141823,5,54,77,2517,SAT,uf125-03_output.txt
50,100,0.034975845,9,404,410,7386,SAT,aim-50-2_0-yes1-2_output.txt
75,325,0.083927623,7,293,292,8794,UNSAT,uuf75-01_output.txt
50,218,0.012871732,5,60,59,1460,UNSAT,uuf50-03_output.txt
125,538,9.273091807,11,3597,3596,172168,UNSAT,uuf125-01_output.txt
75,325,0.0052602659999999996,4,12,36,468,SAT,uf75-01_output.txt
150,645,5.588869937,11,9733,9760,547603,SAT,uf150-01_output.txt
75,325,0.012826262000000001,4,42,52,1246,SAT,uf75-03_output.txt
200,400,67.666833513,11,341382,341410,22260211,SAT,aim-200-2_0-yes1-1_output.txt
50,218,0.016748087,5,72,71,1822,UNSAT,uuf50-01_output.txt
125,538,303.673590643,11,12489,12488,610748,UNSAT,uuf125-02_output.txt
100,430,0.602308505,9,1051,1050,39202,UNSAT,uuf100-01_output.txt
75,325,0.117803299,8,437,436,13403,UNSAT,uuf75-03_output.txt
175,753,0.62529676,9,819,845,54583,SAT,uf175-03_output.txt
,,,,,,,Skipped file,uuf150-03_output.txt
75,325,0.002543618000000001,1,1,21,41,SAT,uf75-02_output.txt
200,400,9.085777162000001,11,11587,11586,202983,UNSAT,aim-200-2_0-no-3_output.txt
100,430,5.855266781,11,2902,2901,115984,UNSAT,uuf100-03_output.txt
