Vars,Clauses,Solve time,Restarts,Learned Clauses,Decisions,Implications,Result,File
125,538,0.025160686,0,42,70,1907,SAT,uf125-01_output.txt
50,100,0.046922933,0,455,454,5247,UNSAT,aim-50-2_0-no-1_output.txt
50,218,0.003332502999999997,0,12,22,345,SAT,uf50-02_output.txt
50,218,0.008048340000000001,0,41,54,887,SAT,uf50-01_output.txt
100,430,0.180270177,0,498,511,20738,SAT,uf100-02_output.txt
,,,,,,,Skipped file,aim-200-2_0-yes1-2_output.txt
150,645,1395.996816631,0,25256,25255,1433135,UNSAT,uuf150-01_output.txt
50,218,0.006153577,0,21,42,514,SAT,uf50-03_output.txt
,,,,,,,Skipped file,uuf175-02_output.txt
125,538,39.954262637999996,0,5586,5585,265514,UNSAT,uuf125-03_output.txt
175,753,0.670239943,0,952,988,60499,SAT,uf175-02_output.txt
75,325,0.07730547600000001,0,260,259,8120,UNSAT,uuf75-02_output.txt
150,645,25.842149771,0,40206,40227,2415938,SAT,uf150-03_output.txt
100,200,0.307826323,0,2676,2685,78063,SAT,aim-100-2_0-yes1-3_output.txt
100,430,0.09586916300000001,0,251,266,9919,SAT,uf100-01_output.txt
175,753,13.498002038,0,20310,20344,1308386,SAT,uf175-01_output.txt
50,100,0.022143942,0,282,290,4769,SAT,aim-50-2_0-yes1-1_output.txt
50,100,0.136214576,0,894,893,12379,UNSAT,aim-50-2_0-no-2_output.txt
150,645,2445.5204418549997,0,24994,24993,1421462,UNSAT,uuf150-02_output.txt
200,400,71.67333180199999,0,16007,16022,583519,SAT,aim-200-2_0-yes1-3_output.txt
50,218,0.012543200000000001,0,62,61,1355,UNSAT,uuf50-02_output.txt
100,200,0.112664622,0,1139,1138,15095,UNSAT,aim-100-2_0-no-1_output.txt
200,400,434.277975592,0,154456,154455,3255606,UNSAT,aim-200-2_0-no-2_output.txt
125,538,0.097687797,0,206,228,9486,SAT,uf125-02_output.txt
,,,,,,,Skipped file,uuf175-01_output.txt
100,200,0.059903477999999996,0,532,547,12742,SAT,aim-100-2_0-yes1-1_output.txt
50,100,0.180736737,0,1762,1761,24030,UNSAT,aim-50-2_0-no-3_output.txt
100,200,0.648655215,0,1716,1715,19023,UNSAT,aim-100-2_0-no-3_output.txt
50,100,0.023104265,0,296,304,3919,SAT,aim-50-2_0-yes1-3_output.txt
100,430,0.017832817,0,33,51,1266,SAT,uf100-03_output.txt
,,,,,,,Skipped file,uuf175-03_output.txt
150,645,0.233350094,0,359,393,21037,SAT,uf150-02_output.txt
100,200,0.27158793800000003,0,2311,2322,67311,SAT,aim-100-2_0-yes1-2_output.txt
100,430,1.522577913,0,2127,2126,85939,UNSAT,uuf100-02_output.txt
100,200,15.89270841,0,8718,8717,147464,UNSAT,aim-100-2_0-no-2_output.txt
125,538,0.0303519,0,54,78,2337,SAT,uf125-03_output.txt
50,100,0.022719372999999998,0,333,341,4943,SAT,aim-50-2_0-yes1-2_output.txt
75,325,0.057535442000000006,0,210,209,6310,UNSAT,uuf75-01_output.txt
50,218,0.011096806,0,50,49,1175,UNSAT,uuf50-03_output.txt
125,538,7.024164562,0,3367,3366,162400,UNSAT,uuf125-01_output.txt
75,325,0.005240361999999998,0,13,37,513,SAT,uf75-01_output.txt
150,645,2.867185672,0,4978,5006,286218,SAT,uf150-01_output.txt
75,325,0.008377967,0,24,36,744,SAT,uf75-03_output.txt
200,400,11.225175729,0,68729,68763,3158541,SAT,aim-200-2_0-yes1-1_output.txt
50,218,0.019421775000000002,0,100,99,2089,UNSAT,uuf50-01_output.txt
125,538,298.251776611,0,11847,11846,572008,UNSAT,uuf125-02_output.txt
100,430,0.5882741699999999,0,1068,1067,41000,UNSAT,uuf100-01_output.txt
75,325,0.113305705,0,365,364,10795,UNSAT,uuf75-03_output.txt
175,753,0.5626745940000001,0,791,826,52171,SAT,uf175-03_output.txt
150,645,1453.256620076,0,22941,22940,1307028,UNSAT,uuf150-03_output.txt
75,325,0.0025963189999999997,0,1,21,41,SAT,uf75-02_output.txt
200,400,8.587172284000001,0,9488,9487,160983,UNSAT,aim-200-2_0-no-3_output.txt
100,430,1.0405135460000001,0,1454,1453,58635,UNSAT,uuf100-03_output.txt
