Vars,Clauses,Solve time,Restarts,Learned Clauses,Decisions,Implications,Result,File
125,538,0.022459165000000003,6,42,70,1907,SAT,uf125-01_output.txt
50,100,0.037157918000000005,9,455,454,5247,UNSAT,aim-50-2_0-no-1_output.txt
50,218,0.002414801000000001,3,12,22,345,SAT,uf50-02_output.txt
50,218,0.009118747999999996,5,41,54,887,SAT,uf50-01_output.txt
100,430,0.126707086,9,498,511,20738,SAT,uf100-02_output.txt
,,,,,,,Skipped file,aim-200-2_0-yes1-2_output.txt
,,,,,,,Skipped file,uuf150-01_output.txt
50,218,0.004441562999999999,4,21,42,514,SAT,uf50-03_output.txt
,,,,,,,Skipped file,uuf175-02_output.txt
125,538,23.919327114,11,5586,5585,265514,UNSAT,uuf125-03_output.txt
175,753,0.506237895,9,952,988,60499,SAT,uf175-02_output.txt
75,325,0.056900542,8,260,259,8120,UNSAT,uuf75-02_output.txt
150,645,15.534789976,11,40206,40227,2415938,SAT,uf150-03_output.txt
100,200,0.293344547,11,2676,2685,78063,SAT,aim-100-2_0-yes1-3_output.txt
100,430,0.069669295,7,251,266,9919,SAT,uf100-01_output.txt
175,753,9.201466687,11,20310,20344,1308386,SAT,uf175-01_output.txt
50,100,0.017362579,7,282,290,4769,SAT,aim-50-2_0-yes1-1_output.txt
50,100,0.107949508,11,894,893,12379,UNSAT,aim-50-2_0-no-2_output.txt
,,,,,,,Skipped file,uuf150-02_output.txt
200,400,57.524561724,11,16007,16022,583519,SAT,aim-200-2_0-yes1-3_output.txt
50,218,0.009712371000000001,5,62,61,1355,UNSAT,uuf50-02_output.txt
100,200,0.09779283700000001,11,1139,1138,15095,UNSAT,aim-100-2_0-no-1_output.txt
,,,,,,,Skipped file,aim-200-2_0-no-2_output.txt
125,538,0.078900168,8,206,228,9486,SAT,uf125-02_output.txt
,,,,,,,Skipped file,uuf175-01_output.txt
,,,,,,,Skipped file,aim-200-2_0-no-1_output.txt
100,200,0.054595133,8,532,547,12742,SAT,aim-100-2_0-yes1-1_output.txt
50,100,0.143231344,11,1762,1761,24030,UNSAT,aim-50-2_0-no-3_output.txt
100,200,0.515091183,9,1716,1715,19023,UNSAT,aim-100-2_0-no-3_output.txt
50,100,0.018111395,7,296,304,3919,SAT,aim-50-2_0-yes1-3_output.txt
100,430,0.017520756999999998,4,33,51,1266,SAT,uf100-03_output.txt
,,,,,,,Skipped file,uuf175-03_output.txt
150,645,0.165376541,7,359,393,21037,SAT,uf150-02_output.txt
100,200,0.323664424,11,2311,2322,67311,SAT,aim-100-2_0-yes1-2_output.txt
100,430,1.187827676,11,2127,2126,85939,UNSAT,uuf100-02_output.txt
100,200,13.808635971000001,11,8718,8717,147464,UNSAT,aim-100-2_0-no-2_output.txt
125,538,0.026761731000000004,6,54,78,2337,SAT,uf125-03_output.txt
50,100,0.019008093,9,333,341,4943,SAT,aim-50-2_0-yes1-2_output.txt
75,325,0.041858464,7,210,209,6310,UNSAT,uuf75-01_output.txt
50,218,0.008357242,5,50,49,1175,UNSAT,uuf50-03_output.txt
125,538,4.651889114,11,3367,3366,162400,UNSAT,uuf125-01_output.txt
75,325,0.004171741999999999,4,13,37,513,SAT,uf75-01_output.txt
150,645,1.951525667,11,4978,5006,286218,SAT,uf150-01_output.txt
75,325,0.006209972000000001,4,24,36,744,SAT,uf75-03_output.txt
200,400,8.523524094999999,11,68729,68763,3158541,SAT,aim-200-2_0-yes1-1_output.txt
50,218,0.012460822000000002,6,100,99,2089,UNSAT,uuf50-01_output.txt
125,538,196.640352353,11,11847,11846,572008,UNSAT,uuf125-02_output.txt
100,430,0.37508937200000003,9,1068,1067,41000,UNSAT,uuf100-01_output.txt
75,325,0.08909489699999999,7,365,364,10795,UNSAT,uuf75-03_output.txt
175,753,0.420678609,11,791,826,52171,SAT,uf175-03_output.txt
,,,,,,,Skipped file,uuf150-03_output.txt
75,325,0.0019285200000000013,1,1,21,41,SAT,uf75-02_output.txt
200,400,6.453733272,11,9488,9487,160983,UNSAT,aim-200-2_0-no-3_output.txt
100,430,0.7457438,11,1454,1453,58635,UNSAT,uuf100-03_output.txt
