Vars,Clauses,Solve time,Restarts,Learned Clauses,Decisions,Implications,Result,File
125,538,0.019438488,0,42,70,1907,SAT,uf125-01_output.txt
50,100,0.035806675,0,455,454,5247,UNSAT,aim-50-2_0-no-1_output.txt
50,218,0.0025149369999999983,0,12,22,345,SAT,uf50-02_output.txt
50,218,0.0061089130000000005,0,41,54,887,SAT,uf50-01_output.txt
100,430,0.147374837,0,498,511,20738,SAT,uf100-02_output.txt
,,,,,,,Skipped file,aim-200-2_0-yes1-2_output.txt
,,,,,,,Skipped file,uuf150-01_output.txt
50,218,0.004789063999999999,0,21,42,514,SAT,uf50-03_output.txt
,,,,,,,Skipped file,uuf175-02_output.txt
125,538,29.220279428,0,5586,5585,265514,UNSAT,uuf125-03_output.txt
175,753,0.575140655,0,952,988,60499,SAT,uf175-02_output.txt
75,325,0.060456042,0,260,259,8120,UNSAT,uuf75-02_output.txt
150,645,21.930849669999997,0,40206,40227,2415938,SAT,uf150-03_output.txt
100,200,0.261924131,0,2676,2685,78063,SAT,aim-100-2_0-yes1-3_output.txt
100,430,0.07855901000000001,0,251,266,9919,SAT,uf100-01_output.txt
175,753,11.724440722,0,20310,20344,1308386,SAT,uf175-01_output.txt
50,100,0.017904193,0,282,290,4769,SAT,aim-50-2_0-yes1-1_output.txt
50,100,0.11114581800000001,0,894,893,12379,UNSAT,aim-50-2_0-no-2_output.txt
,,,,,,,Skipped file,uuf150-02_output.txt
200,400,71.67333180199999,0,16007,16022,583519,SAT,aim-200-2_0-yes1-3_output.txt
50,218,0.010669205000000001,0,62,61,1355,UNSAT,uuf50-02_output.txt
100,200,0.08048306,0,1139,1138,15095,UNSAT,aim-100-2_0-no-1_output.txt
200,400,434.277975592,0,154456,154455,3255606,UNSAT,aim-200-2_0-no-2_output.txt
125,538,0.07893244700000002,0,206,228,9486,SAT,uf125-02_output.txt
,,,,,,,Skipped file,uuf175-01_output.txt
,,,,,,,Skipped file,aim-200-2_0-no-1_output.txt
100,200,0.047508699,0,532,547,12742,SAT,aim-100-2_0-yes1-1_output.txt
50,100,0.154143892,0,1762,1761,24030,UNSAT,aim-50-2_0-no-3_output.txt
100,200,0.5184424080000001,0,1716,1715,19023,UNSAT,aim-100-2_0-no-3_output.txt
50,100,0.017938825,0,296,304,3919,SAT,aim-50-2_0-yes1-3_output.txt
100,430,0.014068195000000002,0,33,51,1266,SAT,uf100-03_output.txt
,,,,,,,Skipped file,uuf175-03_output.txt
150,645,0.19946666200000002,0,359,393,21037,SAT,uf150-02_output.txt
100,200,0.22603485900000003,0,2311,2322,67311,SAT,aim-100-2_0-yes1-2_output.txt
100,430,1.1784812630000001,0,2127,2126,85939,UNSAT,uuf100-02_output.txt
100,200,13.220284152,0,8718,8717,147464,UNSAT,aim-100-2_0-no-2_output.txt
125,538,0.0234495,0,54,78,2337,SAT,uf125-03_output.txt
50,100,0.018639348000000003,0,333,341,4943,SAT,aim-50-2_0-yes1-2_output.txt
75,325,0.046134031,0,210,209,6310,UNSAT,uuf75-01_output.txt
50,218,0.008132117000000001,0,50,49,1175,UNSAT,uuf50-03_output.txt
125,538,5.127616412999999,0,3367,3366,162400,UNSAT,uuf125-01_output.txt
75,325,0.004157583999999999,0,13,37,513,SAT,uf75-01_output.txt
150,645,2.363618711,0,4978,5006,286218,SAT,uf150-01_output.txt
75,325,0.0065837429999999995,0,24,36,744,SAT,uf75-03_output.txt
200,400,11.225175729,0,68729,68763,3158541,SAT,aim-200-2_0-yes1-1_output.txt
50,218,0.014621216999999999,0,100,99,2089,UNSAT,uuf50-01_output.txt
125,538,246.086477991,0,11847,11846,572008,UNSAT,uuf125-02_output.txt
100,430,0.44632567500000003,0,1068,1067,41000,UNSAT,uuf100-01_output.txt
75,325,0.08252006299999999,0,365,364,10795,UNSAT,uuf75-03_output.txt
175,753,0.46395055800000007,0,791,826,52171,SAT,uf175-03_output.txt
,,,,,,,Skipped file,uuf150-03_output.txt
75,325,0.002085099,0,1,21,41,SAT,uf75-02_output.txt
200,400,8.587172284000001,0,9488,9487,160983,UNSAT,aim-200-2_0-no-3_output.txt
100,430,0.8043592660000001,0,1454,1453,58635,UNSAT,uuf100-03_output.txt
